Order;Family;Genus;Taxa;CA1SP;CA1SU;CA2SU;CA3SP;CA3SU;CA4SP;H1SU;H2SU;H3SU;H5SU;MU1SP;MU2SP;MU2SU;MU3SP;MU3SU;MU4SP;MU4SU;R4SP;R4SU;SA1SP;SA1SU;SA2SP;SA2SU;SA3SP;SA3SU;SA4SP;SA5SP;SA5SU;SC1SP;SC2SP;SC3SP;SC3SU;SC4SP;SC4SU;T1SP;T1SU;T2SP;T3SP;T3SU;T4SP
Diptera;Culicidae;Aedes;Aedes;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Odonata;Aeshnidae;Aeshna;Aeshna;0;0;4;8;9;3;5;6;2;2;0;0;0;0;0;0;6;0;1;10;1;0;3;0;0;0;0;12;0;0;0;0;6;30;0;0;0;0;0;2
Coleoptera;Dytiscidae;Agabus;Agabus;3;0;1;4;1;4;16;1;3;0;4;39;4;20;8;10;11;0;0;5;2;12;0;0;0;0;3;0;0;1;0;0;2;0;2;2;1;0;0;4
Coleoptera;Hydrophilidae;Anacaena;Anacaena;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;0;0
Odonata;Aeshnidae;Anax;Anax;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;5;0;5;0;0;6;0;0;0;0;0;0;5;0;0;1;0;0;0
Basommatophora;Ancylidae;Ancylus;Ancylus;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Basommatophora;Planorbidae;Anisus;Anisus;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Diptera;Culicidae;Anopheles;Anopheles;0;0;0;0;0;0;14;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
Hemiptera;Gerridae;Aquarius;Aquarius;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;12;0;0;0
Hemiptera;Corixidae;;Corixidae;0;0;0;0;0;0;2;19;1;0;0;0;0;0;0;0;0;0;0;0;12;0;1;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
Diptera;Athericidae;Atherix;Atherix;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Diptera;Ceratopogonidae;Atrichopogon;Atrichopogon;0;1;2;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
Ephemeroptera;Baetidae;Baetis;Baetis;0;14;3;173;7;2;10;17;84;0;2;276;0;666;26;35;0;0;0;34;16;5;43;28;32;42;18;0;0;0;0;0;4;0;38;48;0;162;0;0
Trichoptera;Beraeidae;Beraea;Beraea;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
Coleoptera;Hydrophilidae;Berosus;Berosus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;3;0;0;0;0;0;0
Diptera;Ceratopogonidae;Bezzia;Bezzia;87;54;9;11;24;36;22;1;7;9;1;3;2;3;1;8;72;8;1;5;2;37;32;12;48;19;11;56;22;7;1;46;3;124;38;162;28;5;21;18
Coleoptera;Dytiscidae;Bidessus;Bidessus;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;2;0;0;0;0;0;0;0;1;1;1;4;6;2;0;0;0;0;0;0;12;0;2
Odonata;Aeshnidae;Boyeria;Boyeria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Diptera;Ceratopogonidae;Brachypogon;Brachypogon;0;1;0;0;0;0;6;0;0;0;0;0;2;2;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ephemeroptera;Caenidae;Caenis;Caenis;58;225;76;25;1424;5;25;3;3;41;1;1;3;0;48;2;2416;6;34;16;10;32;98;54;10;19;30;46;0;4;106;58;17;326;32;206;90;54;444;30
Odonata;Calopterygidae;Calopteryx;Calopteryx;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;3;0;2;0;4;0;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0
Ephemeroptera;Baetidae;Centroptilum;Centroptilum;3;0;12;11;356;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Odonata;Coenagrionidae;Ceriagrion;Ceriagrion;0;0;0;0;0;0;22;0;53;0;0;0;0;0;0;0;0;0;1;2;0;35;14;9;0;13;3;60;0;0;0;0;0;42;0;6;0;0;0;0
Odonata;Lestidae;Chalcolestes;Chalcolestes;2;0;2;55;2;7;32;39;11;4;3;1;0;1;9;0;8;1;0;22;8;51;4;22;2;10;26;3;0;0;2;0;33;2;1;0;2;3;0;96
Diptera;Chaoboridae;Chaoborus;Chaoborus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Diptera;Empididae;Chelifera;Chelifera;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Diptera;Chironomidae;;Chironomini;1392;68;252;176;304;39;848;652;440;28;22;96;215;192;62;119;704;77;159;0;13;104;8;212;57;136;64;24;7;0;6;5;134;56;296;144;155;435;3;20
Diptera;Rhagionidae;Chrysopilus;Chrysopilus;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Diptera;Tabanidae;Chrysops;Chrysops;0;0;2;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Diptera;Empididae;Clinocera;Clinocera;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ephemeroptera;Baetidae;Cloeon;Cloeon;0;0;3;0;32;0;94;40;260;62;0;0;0;0;45;0;147;0;9;0;133;21;106;0;14;12;7;58;0;2;114;31;35;150;0;111;0;0;45;0
Odonata;Coenagrionidae;Coenagrion;Coenagrion;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Odonata;Coenagrionidae;;Coenagrionidae;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Odonata;Cordulegastridae;Cordulegaster;Cordulegaster;0;0;0;2;10;0;1;0;0;8;0;1;1;0;1;0;5;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Odonata;Libellulidae;Crocothemis;Crocothemis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
Diptera;Culicidae;Culex;Culex;0;3;7;0;2;0;38;13;47;1;1;0;1;0;2;0;31;0;2;0;6;0;0;0;0;3;8;1;1;0;2;0;68;0;1;18;0;1;1;13
Diptera;Ceratopogonidae;Culicoides;Culicoides;1;42;0;1;18;0;3;0;0;0;0;0;0;2;0;0;8;0;0;0;0;1;0;0;0;0;0;0;0;0;1;10;14;5;0;0;2;2;0;2
Coleoptera;Scirtidae;Cyphon;Cyphon;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
Diptera;Ceratopogonidae;Dasyhelea;Dasyhelea;6;6;7;1;20;3;143;1;0;35;0;0;0;0;0;0;8;0;93;3;3;13;12;3;44;23;29;156;10;0;9;52;0;1144;2;255;10;8;62;12
Coleoptera;Dytiscidae;Deronectes;Deronectes;0;0;0;0;1;1;1;0;0;2;1;0;0;0;0;0;0;0;0;7;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Diptera;Limoniidae;Dicranota;Dicranota;0;0;0;8;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Diptera;Dixidae;Dixa;Dixa;0;0;0;2;8;1;6;0;0;0;0;4;0;2;0;1;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0
Diptera;Dixidae;Dixella;Dixella;2;0;12;4;0;0;44;9;15;0;0;0;0;0;1;0;3;0;0;1;0;0;2;0;2;1;0;0;0;0;0;0;19;1;0;2;1;1;0;0
Coleoptera;Dryopidae;Dryops;Dryops;0;0;2;0;2;0;3;0;0;0;1;0;1;1;8;0;4;0;0;3;0;0;0;0;1;4;0;5;2;0;1;2;3;2;0;6;1;0;1;2
Seriata;Dugesiidae;Dugesia;Dugesia;1;16;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Coleoptera;Dytiscidae;Dytiscus;Dytiscus;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amphipoda;Gammaridae;Echinogammarus;Echinogammarus;0;0;0;0;0;1;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Coleoptera;Elmidae;Elmis;Elmis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0
Coleoptera;Scirtidae;Elodes;Elodes;0;0;0;6;1;0;6;1;20;1;0;0;0;1;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
Hirudinoidea;Erpobdellidae;Erpobdella;Erpobdella;0;0;0;0;0;0;0;0;7;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
Diptera;Ceratopogonidae;Forcypomyia;Forcypomyia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Basommatophora;Lymnaeidae;Galba;Galba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
Hemiptera;Gerridae;Gerris;Gerris;0;0;0;0;6;2;0;0;1;8;0;0;0;0;1;4;4;0;1;10;3;3;0;0;2;16;6;1;3;0;0;0;10;0;55;8;11;1;0;2
Odonata;Gomphidae;Gomphus;Gomphus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Coleoptera;Dytiscidae;Graptodytes;Graptodytes;0;0;0;0;0;1;0;1;5;3;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;1
Coleoptera;Gyrinidae;Gyrinus;Gyrinus;0;0;0;0;0;0;0;1;6;0;0;0;2;0;0;0;0;0;0;2;5;5;0;0;0;1;0;0;7;0;0;0;7;3;0;0;0;2;0;1
Ephemeroptera;Leptophlebiidae;Habrophlebia;Habrophlebia;107;0;3;368;24;60;73;55;54;0;60;47;2;22;12;25;4;1;0;112;7;136;13;133;3;36;22;1;0;0;0;0;26;0;15;0;17;57;0;409
Coleoptera;Haliplidae;Haliplus;Haliplus;0;0;0;0;0;0;2;3;17;0;3;0;0;1;1;12;8;1;0;5;2;30;15;2;0;3;0;1;0;0;0;0;1;1;0;3;0;0;0;0
Diptera;Limoniidae;Helius;Helius;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rhynchobdellida;Glossiphoniidae;Helobdella;Helobdella;0;0;0;0;5;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Coleoptera;Hydrophilidae;Helochares;Helochares;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;1;0;0;0;0;0;0
Coleoptera;Helophoridae;Helophorus;Helophorus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Diptera;Empididae;Hemerodromia;Hemerodromia;0;1;3;2;3;1;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;17;24;3;0;1;0;0;0;0;0;0;2;0;3;0;0;0
Diptera;Limoniidae;Hexatoma;Hexatoma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Trombidiformes;;;;21;10;11;4;12;2;30;15;57;1;1;6;21;2;5;12;28;4;0;12;16;64;15;11;14;12;21;24;0;0;0;2;4;3;0;14;2;128;1;0
Coleoptera;Hydraenidae;Hydraena;Hydraena;0;0;0;1;1;0;16;0;13;2;0;0;4;0;0;1;3;0;2;1;0;0;6;0;2;0;0;0;0;0;0;0;0;1;0;6;0;0;0;0
Coleoptera;Dytiscidae;Hydroglyphus;Hydroglyphus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Hemiptera;Hydrometridae;Hydrometra;Hydrometra;0;0;0;0;0;0;4;2;1;0;1;2;1;2;1;5;2;0;0;1;0;1;0;0;2;6;2;0;3;0;0;0;1;0;7;7;1;0;0;0
Coleoptera;Hydrophilidae;Hydrophilus;Hydrophilus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Coleoptera;Dytiscidae;Hydroporus;Hydroporus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Trichoptera;Hydropsychidae;Hydropsyche;Hydropsyche;0;0;0;1;12;0;50;0;45;0;0;0;0;0;0;1;4;0;0;0;0;0;32;0;48;6;1;9;0;0;0;0;0;0;0;25;0;0;0;0
Trichoptera;Hydroptilidae;Hydroptila;Hydroptila;0;7;1;0;6;0;70;2;315;1;3;56;5;94;3;22;133;0;0;13;0;0;7;2;26;3;5;2;0;0;0;0;0;0;5;23;0;6;0;0
